id,Region,Country,Category,Subcategory,Global_Brand_Owner,pct_2015,pct_2016,pct_2017,Unit2015,Unit2016,Unit2017,Growth_pct_2015_2016,Growth_pct_2016_2017
470D2F3F,WE,Denmark,Apparel,Childrenswear,H&M Hennes & Mauritz AB,6.8,7.1,7.5,29.9,31.9,34.6,6.9,6.4
94CE4A70,WE,Denmark,Apparel,Childrenswear,adidas Group,1.5,1.8,1.7,6.8,8,8,16.8,-1.5
562EA956,WE,Denmark,Apparel,Childrenswear,Nike Inc,0.9,1.1,1.2,4.2,5,5.6,19.4,10.3
FC53B7E4,WE,Denmark,Apparel,Childrenswear,Inditex, Industria de Diseño Textil SA,0.5,0.5,0.5,2.1,2.1,2.2,0,2.5
8554EA9F,WE,Denmark,Apparel,Childrenswear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0
6E263C8C,WE,Denmark,Apparel,Menswear,H&M Hennes & Mauritz AB,11.8,12.4,12.9,119.2,127.3,137.3,6.9,5.9
4E295E46,WE,Denmark,Apparel,Menswear,adidas Group,1.5,1.7,1.6,14.8,17.3,17.4,16.8,-1.5
640C770E,WE,Denmark,Apparel,Menswear,Nike Inc,0.8,1,1.1,8.4,10,11.3,19.3,10.3
D6F735C8,WE,Denmark,Apparel,Menswear,Inditex, Industria de Diseño Textil SA,0.4,0.4,0.4,4.6,4.6,4.8,0,2.5
81DA78CA,WE,Denmark,Apparel,Menswear,Urban Outfitters Inc,0.2,0.2,0.2,2,2.1,2.2,5.2,4.5
D2C1D1C6,WE,Denmark,Apparel,Menswear,Asics Corp,0.2,0.2,0.2,1.9,1.7,1.7,-10,-4.5
0642DB8B,WE,Denmark,Apparel,Menswear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0
A55FB1E7,WE,Denmark,Apparel,Womenswear,H&M Hennes & Mauritz AB,14.8,15.7,16.5,322.9,346.9,378.1,7.5,7.1
46B6FE95,WE,Denmark,Apparel,Womenswear,Nike Inc,0.5,0.6,0.7,11.5,13.7,15.4,19.4,10.3
6054FB0A,WE,Denmark,Apparel,Womenswear,adidas Group,0.5,0.6,0.5,10.5,12.3,12.3,16.8,-1.5
05D99EA4,WE,Denmark,Apparel,Womenswear,Inditex, Industria de Diseño Textil SA,0.5,0.5,0.5,10.3,10.3,10.7,0,2.5
5545EF14,WE,Denmark,Apparel,Womenswear,Urban Outfitters Inc,0.2,0.2,0.2,3.9,3.8,3.9,-0.6,-1.3
0C863DA5,WE,Denmark,Apparel,Womenswear,Asics Corp,0.1,0.1,0.1,2.9,2.6,2.5,-10,-5.5
7F8AE155,WE,Denmark,Apparel,Womenswear,Tommy Hilfiger Group,0,0,0,0,0,0,0,0
0865A987,WE,France,Apparel,Childrenswear,adidas Group,2.4,2.7,2.7,84.8,95.5,96.2,12.9,-1
70BF7024,WE,France,Apparel,Childrenswear,H&M Hennes & Mauritz AB,1.6,1.6,1.6,57.1,56.2,57.5,-1.3,0.5
9C6E292C,WE,France,Apparel,Childrenswear,Nike Inc,1.4,1.5,1.6,50.7,52.6,55.9,3.9,4.6
A0029920,WE,France,Apparel,Childrenswear,Inditex, Industria de Diseño Textil SA,0.9,1,1.2,32.9,35.9,41.3,9.5,13
3DA0B1D4,WE,France,Apparel,Childrenswear,Under Armour Inc,0.7,0.9,1.1,24.1,31,39.4,28.6,25
5363970A,WE,France,Apparel,Childrenswear,Gap Inc, The,0.2,0.2,0.2,7.5,7,6.6,-7.4,-6.5
06C0FA46,WE,France,Apparel,Childrenswear,Lacoste SA,0,0,0,0,0,0,0,0
97FBAD70,WE,France,Apparel,Menswear,Inditex, Industria de Diseño Textil SA,3.8,4.1,4.4,428.9,453.7,491.7,6.1,6.5
A8B48CB1,WE,France,Apparel,Menswear,H&M Hennes & Mauritz AB,3.5,3.6,3.7,390,395.8,413.7,1.7,2.7
D14F4502,WE,France,Apparel,Menswear,adidas Group,2.3,2.6,2.6,258.9,288.6,291,11.8,-0.9
ACC13E9D,WE,France,Apparel,Menswear,Nike Inc,1.2,1.2,1.3,131.2,134.1,140,2.5,2.7
2107D572,WE,France,Apparel,Menswear,Under Armour Inc,0.5,0.6,0.9,59.3,70.7,99,19.6,37.5
